,fecha_hecho,latitud,longitud,sexo,edad,medio_transporte,modalidad,sede_receptora
0,2017-01-01,6.27623616,-75.55353312,Hombre,37,Taxi,Atraco,Aranjuez
1,2017-01-01,6.21907115,-75.60299601,Mujer,29,Taxi,Descuido,Belén
2,2017-01-01,6.21907115,-75.60299601,Mujer,29,Taxi,Descuido,Belén
3,2017-01-02,6.24275379,-75.54836478,Hombre,36,Taxi,Atraco,Villa Hermosa
4,2017-01-02,6.24275379,-75.54836478,Hombre,36,Taxi,Atraco,Villa Hermosa
5,2017-01-02,6.22272947,-75.58425274,Hombre,22,Taxi,Atraco,Belén
6,2017-01-03,6.29045179,-75.56460824,Hombre,35,Metro,Cosquilleo,Castilla
7,2017-01-03,6.29045179,-75.56460824,Hombre,35,Metro,Cosquilleo,Castilla
8,2017-01-04,6.27210659,-75.56045631,Hombre,26,Taxi,Atraco,Aranjuez
9,2017-01-04,6.20326723,-75.5593313,Hombre,52,Taxi,Atraco,Poblado
10,2017-01-04,6.20326723,-75.5593313,Hombre,52,Taxi,Atraco,Poblado
11,2017-01-04,6.27210659,-75.56045631,Hombre,26,Taxi,Atraco,Aranjuez
12,2017-01-04,6.20326723,-75.5593313,Hombre,52,Taxi,Atraco,Poblado
13,2017-01-04,6.20326723,-75.5593313,Hombre,52,Taxi,Atraco,Poblado
14,2017-01-04,6.20326723,-75.5593313,Hombre,52,Taxi,Atraco,Poblado
15,2017-01-04,6.20326723,-75.5593313,Hombre,52,Taxi,Atraco,Poblado
16,2017-01-04,6.20326723,-75.5593313,Hombre,52,Taxi,Atraco,Poblado
17,2017-01-04,6.20326723,-75.5593313,Hombre,52,Taxi,Atraco,Poblado
18,2017-01-04,6.20326723,-75.5593313,Hombre,52,Taxi,Atraco,Poblado
19,2017-01-05,6.28071258,-75.57456728,Mujer,44,Taxi,Descuido,Castilla
20,2017-01-05,6.28071258,-75.57456728,Mujer,44,Taxi,Descuido,Castilla
21,2017-01-06,6.23060064,-75.57500448,Hombre,30,Metro,Cosquilleo,Poblado
22,2017-01-06,6.25705178,-75.56632157,Hombre,35,Metro,Cosquilleo,Candelaria
23,2017-01-07,6.23125657,-75.60099509,Mujer,22,Autobus,Atraco,Belén
24,2017-01-07,6.23125657,-75.60099509,Mujer,22,Autobus,Atraco,Belén
25,2017-01-07,6.25265169,-75.56854036,Mujer,50,Taxi,Atraco,Candelaria
26,2017-01-08,6.28388665,-75.58346953,Mujer,33,Taxi,Atraco,Castilla
27,2017-01-08,6.24175126,-75.55137958,Hombre,39,Taxi,Atraco,Buenos Aires
28,2017-01-08,6.25445399,-75.56931493,Hombre,62,Taxi,Atraco,Candelaria
29,2017-01-09,6.30020091,-75.55223513,Hombre,56,Taxi,Atraco,Santa Cruz
30,2017-01-10,6.23050465,-75.57530489,Mujer,36,Metro,Cosquilleo,Poblado
31,2017-01-10,6.22123628,-75.58024015,Mujer,32,Taxi,Atraco,Belén
32,2017-01-10,6.25325359,-75.58292236,Mujer,29,Metro,Cosquilleo,Laureles
33,2017-01-10,6.23050465,-75.57530489,Mujer,36,Metro,Cosquilleo,Poblado
34,2017-01-11,6.25721029,-75.56680765,Hombre,52,Autobus,Cosquilleo,Candelaria
35,2017-01-12,6.21307357,-75.57763123,Hombre,22,Metro,Cosquilleo,Poblado
36,2017-01-12,6.23794909,-75.60840335,Hombre,34,Taxi,Descuido,Laureles
37,2017-01-14,6.30003749,-75.55846852,Mujer,35,Metro,Cosquilleo,Castilla
38,2017-01-14,6.30003749,-75.55846852,Mujer,35,Metro,Cosquilleo,Castilla
39,2017-01-14,6.25088062,-75.56738164,Mujer,46,Taxi,Atraco,Candelaria
40,2017-01-14,6.26419053,-75.56744849,Mujer,36,Autobus,Raponazo,Candelaria
41,2017-01-14,6.28168038,-75.60442831,Mujer,33,Taxi,Descuido,Castilla
42,2017-01-16,6.19756867,-75.59001412,Mujer,49,Autobus,Cosquilleo,Belén
43,2017-01-16,6.19756867,-75.59001412,Mujer,49,Autobus,Cosquilleo,Belén
44,2017-01-17,6.20922971,-75.56816217,Hombre,25,Taxi,Descuido,Poblado
45,2017-01-17,6.30020948,-75.55869129,Hombre,27,Metro,Cosquilleo,Castilla
46,2017-01-18,6.24458821,-75.59471335,Hombre,59,Taxi,Atraco,Laureles
47,2017-01-18,6.29630109,-75.58611956,Hombre,25,Taxi,Atraco,Doce de Octubre
48,2017-01-18,6.25474158,-75.57832939,Mujer,26,Autobus,Raponazo,Laureles
49,2017-01-18,6.29992462,-75.55633598,Mujer,36,Autobus,Cosquilleo,Santa Cruz
50,2017-01-19,6.21124247,-75.57004776,Hombre,45,Taxi,Atraco,Poblado
51,2017-01-19,6.21300233,-75.57784762,Mujer,45,Metro,Cosquilleo,Poblado
52,2017-01-19,6.21300233,-75.57784762,Mujer,45,Metro,Cosquilleo,Poblado
53,2017-01-20,6.25035004,-75.56047228,Mujer,58,Autobus,Cosquilleo,Candelaria
54,2017-01-20,6.28790303,-75.57021406,Mujer,28,Taxi,Atraco,Castilla
55,2017-01-20,6.25035004,-75.56047228,Mujer,58,Autobus,Cosquilleo,Candelaria
56,2017-01-21,6.24278046,-75.55483427,Hombre,32,Taxi,Atraco,Buenos Aires
57,2017-01-21,6.24278046,-75.55483427,Hombre,32,Taxi,Atraco,Buenos Aires
58,2017-01-21,6.24975546,-75.59122648,Mujer,34,Taxi,Atraco,Laureles
59,2017-01-22,6.24432158,-75.56980904,Mujer,24,Taxi,Atraco,Candelaria
60,2017-01-22,6.24986211,-75.5687603,Hombre,34,Taxi,Atraco,Candelaria
61,2017-01-23,6.22961942,-75.57562675,Hombre,28,Metro,Cosquilleo,Poblado
62,2017-01-23,6.25236573,-75.56767535,Mujer,31,Autobus,Raponazo,Candelaria
63,2017-01-23,6.22961942,-75.57562675,Hombre,28,Metro,Cosquilleo,Poblado
64,2017-01-23,6.25451044,-75.57460845,Hombre,27,Autobus,Cosquilleo,Candelaria
65,2017-01-24,6.25870871,-75.59795346,Hombre,65,Metro,Cosquilleo,Laureles
66,2017-01-25,6.1940115,-75.58174078,Hombre,37,Metro,Cosquilleo,Poblado
67,2017-01-25,6.27323942,-75.55398133,Hombre,42,Metro,Cosquilleo,Manrique
68,2017-01-26,6.20385653,-75.57175798,Hombre,42,Taxi,Atraco,Poblado
69,2017-01-26,6.20385653,-75.57175798,Hombre,42,Taxi,Atraco,Poblado
70,2017-01-26,6.20385653,-75.57175798,Hombre,42,Taxi,Atraco,Poblado
71,2017-01-26,6.20385653,-75.57175798,Hombre,42,Taxi,Atraco,Poblado
72,2017-01-26,6.20385653,-75.57175798,Hombre,42,Taxi,Atraco,Poblado
73,2017-01-26,6.20385653,-75.57175798,Hombre,42,Taxi,Atraco,Poblado
74,2017-01-26,6.21225572,-75.57771947,Mujer,44,Metro,Cosquilleo,Poblado
75,2017-01-26,6.21225572,-75.57771947,Mujer,44,Metro,Cosquilleo,Poblado
76,2017-01-26,6.24736529,-75.56974457,Hombre,42,Metro,Cosquilleo,Candelaria
77,2017-01-26,6.28719474,-75.57472684,Mujer,21,Taxi,Descuido,Castilla
78,2017-01-26,6.24905753,-75.56336926,Hombre,38,Autobus,Atraco,Candelaria
79,2017-01-27,6.24732915,-75.56996193,Hombre,39,Metro,Cosquilleo,Candelaria
80,2017-01-27,6.26588021,-75.58691349,Mujer,41,Autobus,Cosquilleo,Castilla
81,2017-01-27,6.24614554,-75.56546551,Hombre,55,Autobus,Raponazo,Candelaria
82,2017-01-27,6.24732915,-75.56996193,Hombre,39,Metro,Cosquilleo,Candelaria
83,2017-01-28,6.25783952,-75.58467116,Hombre,51,Taxi,Atraco,Laureles
84,2017-01-28,6.21339697,-75.57760529,Hombre,50,Metro,Cosquilleo,Poblado
85,2017-01-28,6.24657459,-75.5679154,Mujer,21,Taxi,Atraco,Candelaria
86,2017-01-28,6.24402797,-75.56868623,Mujer,30,Autobus,Raponazo,Candelaria
87,2017-01-29,6.25628244,-75.55845525,Hombre,19,Taxi,Atraco,Villa Hermosa
88,2017-01-30,6.22899015,-75.57461824,Mujer,54,Autobus,Cosquilleo,Poblado
89,2017-01-30,6.22899015,-75.57461824,Mujer,54,Autobus,Cosquilleo,Poblado
90,2017-01-30,6.24729182,-75.56988683,Hombre,32,Metro,Cosquilleo,Candelaria
91,2017-01-30,6.29041635,-75.56989772,Mujer,57,Autobus,Cosquilleo,Castilla
92,2017-01-30,6.21326368,-75.57760889,Mujer,49,Metro,Cosquilleo,Poblado
93,2017-01-30,6.28534367,-75.58675097,Hombre,24,Autobus,Cosquilleo,Castilla
94,2017-01-30,6.28534367,-75.58675097,Hombre,24,Autobus,Cosquilleo,Castilla
95,2017-01-30,6.24729182,-75.56988683,Hombre,32,Metro,Cosquilleo,Candelaria
96,2017-01-31,6.2871352,-75.57026234,Hombre,26,Taxi,Atraco,Castilla
97,2017-01-31,6.25873537,-75.56516614,Mujer,24,Autobus,Cosquilleo,Candelaria
98,2017-01-31,6.25873537,-75.56516614,Mujer,24,Autobus,Cosquilleo,Candelaria
99,2017-01-31,6.27804913,-75.56957569,Hombre,58,Metro,Cosquilleo,Castilla
100,2017-01-31,6.27818777,-75.56981172,Mujer,19,Metro,Cosquilleo,Castilla
101,2017-01-31,6.27268486,-75.57180729,Mujer,38,Autobus,Atraco,Castilla
102,2017-01-31,6.27804913,-75.56957569,Hombre,58,Metro,Cosquilleo,Castilla
103,2017-02-01,6.23059531,-75.57544973,Mujer,35,Metro,Cosquilleo,Poblado
104,2017-02-01,6.23059531,-75.57544973,Mujer,35,Metro,Cosquilleo,Poblado
105,2017-02-01,6.26020713,-75.57520833,Mujer,24,Autobus,Cosquilleo,Castilla
106,2017-02-01,6.25283232,-75.5685189,Mujer,30,Taxi,Atraco,Candelaria
107,2017-02-01,6.26020713,-75.57520833,Mujer,24,Autobus,Cosquilleo,Castilla
108,2017-02-01,6.24668924,-75.57565894,Mujer,18,Autobus,Atraco,Candelaria
109,2017-02-01,6.25283232,-75.5685189,Mujer,30,Taxi,Atraco,Candelaria
110,2017-02-01,6.26366253,-75.56333151,Hombre,26,Metro,Cosquilleo,Candelaria
111,2017-02-01,6.25256037,-75.56803074,Hombre,30,Taxi,Atraco,Candelaria
112,2017-02-01,6.19350485,-75.58171,Hombre,60,Metro,Cosquilleo,Poblado
113,2017-02-02,6.23895718,-75.60023231,Mujer,50,Autobus,Cosquilleo,Laureles
114,2017-02-02,6.26462726,-75.56433906,Hombre,65,Taxi,Atraco,Aranjuez
115,2017-02-02,6.2584511,-75.59773224,Mujer,36,Metro,Cosquilleo,Laureles
116,2017-02-02,6.26462726,-75.56433906,Hombre,65,Taxi,Atraco,Aranjuez
117,2017-02-02,6.23895718,-75.60023231,Mujer,50,Autobus,Cosquilleo,Laureles
118,2017-02-02,6.23895718,-75.60023231,Mujer,50,Autobus,Cosquilleo,Laureles
119,2017-02-02,6.19394319,-75.58176775,Hombre,19,Metro,Cosquilleo,Poblado
120,2017-02-02,6.19394319,-75.58176775,Hombre,19,Metro,Cosquilleo,Poblado
121,2017-02-02,6.25276981,-75.56794953,Hombre,43,Taxi,Atraco,Candelaria
122,2017-02-03,6.27735594,-75.58960643,Hombre,31,Taxi,Atraco,Castilla
123,2017-02-03,6.2674089,-75.57667096,Mujer,43,Autobus,Cosquilleo,Castilla
124,2017-02-03,6.2674089,-75.57667096,Mujer,43,Autobus,Cosquilleo,Castilla
125,2017-02-03,6.25270168,-75.56869861,Mujer,25,Taxi,Atraco,Candelaria
126,2017-02-03,6.24561094,-75.57591405,Hombre,29,Autobus,Cosquilleo,Candelaria
127,2017-02-03,6.24561094,-75.57591405,Hombre,29,Autobus,Cosquilleo,Candelaria
128,2017-02-04,6.24724916,-75.56966152,Mujer,28,Metro,Cosquilleo,Candelaria
129,2017-02-06,6.26302574,-75.59753504,Mujer,49,Autobus,Atraco,Laureles
130,2017-02-06,6.24708919,-75.56977954,Mujer,32,Metro,Cosquilleo,Candelaria
131,2017-02-06,6.24903295,-75.56699495,Mujer,23,Autobus,Raponazo,Candelaria
132,2017-02-06,6.24708919,-75.56977954,Mujer,32,Metro,Cosquilleo,Candelaria
133,2017-02-06,6.25558922,-75.57951059,Hombre,42,Autobus,Descuido,Laureles
134,2017-02-06,6.24817169,-75.56946304,Mujer,40,Taxi,Atraco,Candelaria
135,2017-02-07,6.21273398,-75.57785723,Mujer,29,Metro,Cosquilleo,Poblado
136,2017-02-07,6.21273398,-75.57785723,Mujer,29,Metro,Cosquilleo,Poblado
137,2017-02-07,6.24728649,-75.56961324,Hombre,33,Metro,Cosquilleo,Candelaria
138,2017-02-08,6.20963759,-75.57735854,Hombre,26,Metro,Cosquilleo,Poblado
139,2017-02-08,6.19395283,-75.58162417,Mujer,31,Metro,Cosquilleo,Poblado
140,2017-02-08,6.19395283,-75.58162417,Mujer,31,Metro,Cosquilleo,Poblado
